"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-4645-3p",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4647",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-4662a-5p",0,0,0,7,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"hsa-miR-4665-5p",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4666a-5p",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4687-5p",0,0,0,10,0,0,0,0,0,0,0,9,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,41,0,0
"hsa-miR-4755-3p",0,0,0,7,0,27,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0
"hsa-miR-485-3p",0,0,0,2,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"hsa-miR-485-5p",0,0,0,903,0,0,0,626,0,125,0,1745,0,329,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,360,239,1037,0,0
"hsa-miR-487b-3p",0,0,0,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"hsa-miR-493-3p",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-493-5p",0,0,0,2,6,0,0,27,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-496",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5010-5p",0,0,0,386,394,0,0,0,582,686,0,463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,592,0,0,709,0,0,603
"hsa-miR-504-5p",0,0,0,5,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-505-3p",0,0,0,14,6,0,0,0,16,5,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-505-5p",0,0,0,2,6,27,41,9,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"hsa-miR-509-3p",0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,16,0,0,0
"hsa-miR-5189-3p",0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"hsa-miR-5189-5p",0,0,0,17,0,0,0,27,16,14,0,23,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,20,0,0
"hsa-miR-532-3p",0,0,0,5,0,0,41,9,33,0,0,18,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-543",0,0,0,2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"hsa-miR-548e-3p",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"hsa-miR-550a-3p",0,0,0,66,664,2157,0,0,1910,338,1056,1934,1585,3584,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,872,2823,0,2638,0
"hsa-miR-550a-5p",0,0,0,105,0,1557,2348,1031,0,245,765,0,270,0,2354,0,0,1,0,0,0,0,0,0,0,0,1,0,0,687,1038,0,2065,0
"hsa-miR-550b-3p",0,0,0,5,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-556-5p",0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-576-5p",0,0,0,17,17,27,122,0,0,19,14,0,0,20,0,0,0,20,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-602",0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-605-3p",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-616-5p",0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"hsa-miR-625-3p",0,0,0,4374,390,0,1474,0,1159,1216,980,635,717,1055,0,0,0,1,0,0,0,0,1,0,1,1,0,2551,1799,1004,0,0,856,0
