"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-125b-5p",8,14,3,63,55,12,8,49,19,39,20,100,24,38,12,9,0,3,41,27,13,1,6,6,3,42,1,9,8,38,21,3,12,9
"hsa-miR-126-5p",159,729,216,3754,2588,388,264,772,670,1564,575,2343,908,1013,364,194,171,161,621,878,336,214,399,1047,184,425,198,233,167,768,961,264,262,378
"hsa-miR-1271-5p",1,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-134-5p",1,0,0,5,1,0,0,2,1,5,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
"hsa-miR-137-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",2,1,2,10,9,0,0,2,1,5,4,14,5,4,2,0,2,1,0,0,0,1,1,1,0,8,6,1,1,4,5,0,2,2
"hsa-miR-142-5p",43,175,62,743,618,126,65,174,249,267,186,462,304,345,72,45,51,83,80,108,106,125,165,136,85,114,127,47,72,122,155,62,116,96
"hsa-miR-143-3p",1,25,18,178,156,29,16,81,74,76,76,183,156,113,26,5,12,10,36,15,29,7,27,28,16,19,9,10,18,11,47,5,92,93
"hsa-miR-144-3p",4,15,6,17,39,11,4,1,18,7,13,24,24,25,7,0,7,14,7,8,7,12,4,17,6,2,19,6,4,6,22,8,2,0
"hsa-miR-148a-3p",2,9,4,131,29,4,3,16,18,312,105,359,117,241,28,1,0,5,13,3,2,2,4,4,3,9,6,29,31,104,22,56,215,67
"hsa-miR-155-5p",1,1,1,1,1,0,1,1,1,8799,4528,18210,4576,7588,1955,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1603,8595,4746,1,1574
"hsa-miR-15a-5p",3,16,5,31,75,4,4,6,16,37,16,298,45,112,23,6,0,10,9,7,3,5,11,12,6,11,14,18,12,22,35,14,44,10
"hsa-miR-15b-5p",1,1,0,2,1,1,1,1,1,3916,1170,6624,3411,3579,2443,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,5364,1494,2472,0
"hsa-miR-16-5p",97,390,81,1660,1790,212,133,429,613,368,167,928,388,505,139,95,91,273,178,193,102,184,414,369,113,275,207,123,91,190,194,84,245,75
"hsa-miR-17-5p",1,0,0,38,1,1,0,1,1,4,0,4,3,2,3,1,2,3,0,4,0,1,4,6,0,2,0,0,0,2,2,1,1,3
