"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-100-5p",1177,206,74,194,132,47,1525,144,18,181,0,80,91,4,0,832,118,145,324,1268,564,907,477,309,268,435,539,51,106,42,50,6,67,70
"hsa-miR-101-3p",176,365,699,277,365,297,0,44,127,191,102,112,152,49,124,120,687,221,287,575,272,664,631,458,563,527,297,77,83,71,146,71,35,335
"hsa-miR-103a-3p",529,648,710,645,791,360,495,174,317,786,228,1094,369,281,388,528,688,569,748,764,499,1034,350,1012,473,520,862,1412,611,164,419,192,255,437
"hsa-miR-106b-3p",146,93,50,114,111,126,96,111,72,596,239,122,282,151,167,0,188,117,71,52,96,30,91,130,107,203,144,0,0,241,195,336,392,610
"hsa-miR-125b-5p",977,297,191,333,262,272,365,353,64,396,219,197,178,37,282,968,0,163,1457,853,559,46,355,331,262,1042,98,203,204,326,256,70,128,260
"hsa-miR-126-5p",18633,17899,16725,22418,13512,9410,13846,4790,2236,16783,5702,3885,7114,864,8627,17861,16454,8307,29486,29191,17401,14218,18438,28733,13792,18028,14993,5775,4874,7324,10386,5338,3224,10036
"hsa-miR-1271-5p",120,0,0,38,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"hsa-miR-134-5p",120,0,0,27,5,0,0,15,5,47,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0
"hsa-miR-137-3p",120,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",146,16,99,47,38,0,0,10,3,37,37,26,41,3,39,0,172,42,0,0,0,95,86,74,0,274,304,17,19,41,55,0,19,52
"hsa-miR-142-5p",4950,4207,4861,4277,3216,3246,3368,1052,946,2571,2108,701,2729,372,1571,3892,5144,2917,5202,5028,5021,5616,6184,5099,4783,4794,6316,1209,1732,1308,1851,1240,1125,2510
"hsa-miR-143-3p",216,583,1563,1016,817,729,827,575,293,638,869,278,1527,108,542,278,1259,400,1564,745,1113,502,1026,944,848,794,635,308,478,193,600,159,710,1981
"hsa-miR-144-3p",351,346,394,81,207,299,152,8,71,44,135,33,216,30,164,0,718,310,404,378,341,486,241,519,334,141,778,125,105,70,236,138,21,0
"hsa-miR-148a-3p",104,194,241,842,130,67,134,98,63,3655,1126,590,853,266,495,351,0,122,462,148,117,104,158,151,150,265,263,784,854,1063,429,1060,1586,1853
"hsa-miR-155-5p",1,1,1,1,1,0,1,1,1,391178,214389,135667,137781,27958,201558,0,0,1,1,1,1,1,1,1,1,1,1,0,0,73567,482461,422088,24662,273700
"hsa-miR-15a-5p",271,397,318,161,437,73,147,30,61,293,116,721,344,152,581,648,0,249,453,329,210,274,413,387,316,391,557,429,320,245,444,272,369,317
"hsa-miR-15b-5p",1,1,0,1,1,1,1,1,1,144721,33513,35056,104531,9313,312408,0,0,1,1,1,2,0,1,1,0,0,1,94161,0,0,373851,161515,103590,0
"hsa-miR-16-5p",11710,9662,5813,9538,9769,5127,6830,2669,2382,3521,1553,1678,3359,556,3471,8575,8946,7276,10874,9349,6858,9425,13884,11879,7702,10433,11102,2648,2253,1981,2409,1718,2097,2300
"hsa-miR-17-5p",217,0,0,157,9,46,0,13,8,35,0,7,20,2,46,45,98,73,0,158,0,62,152,208,0,96,0,0,0,14,18,12,5,75
"hsa-miR-181a-2-3p",71,89,48,62,64,91,0,36,20,230,58,10,21,23,0,0,135,22,116,46,46,0,0,70,137,227,57,30,33,141,55,0,22,94
"hsa-miR-181b-5p",804,270,390,353,261,641,498,125,104,696,581,141,335,103,382,455,490,319,1039,201,247,300,613,779,596,525,652,258,371,319,398,61,282,782
"hsa-miR-184",233,727,0,10,70,296,101,635,38,11,29,12,21,0,93,497,127,67,1428,494,141,146,41,166,49,654,135,11,12,80,12,28,12,33
"hsa-miR-1908-5p",120,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"hsa-miR-192-5p",968,1187,1192,1123,933,1137,768,529,586,674,422,206,885,157,702,905,1253,1080,1076,1044,1058,1139,1248,1554,1602,978,1392,571,575,332,471,383,378,613
"hsa-miR-197-5p",120,0,0,5,0,0,0,0,0,0,0,4,26,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203a-3p",195,145,391,9,5,83,126,6,8,0,13,8,123,2,14,227,244,216,240,250,252,183,0,666,198,281,311,20,22,59,0,0,14,61
"hsa-miR-204-5p",223,94,149,173,203,380,0,168,8,90,66,30,73,5,0,0,309,151,310,37,0,39,263,102,227,282,248,77,39,38,18,12,5,106
"hsa-miR-210-3p",2,0,0,1,1,0,0,0,0,0,0,2639,12631,4268,0,0,0,0,0,0,0,1,0,0,1,0,3,14968,0,0,7919,0,4529,0
"hsa-miR-222-3p",100,187,199,1175,121,22,385,318,105,2333,503,349,367,104,386,0,319,187,479,123,125,130,118,222,211,49,98,448,592,336,637,783,438,1156
"hsa-miR-222-5p",1,1,0,1,1,2,1,0,1,0,0,6581,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,3781,0,0,1986,2874,1130,0
"hsa-miR-223-3p",447,252,152,814,143,113,0,43,103,601,499,194,681,61,264,459,93,105,433,121,271,474,302,375,137,510,333,114,275,242,366,111,315,1139
"hsa-miR-23a-3p",96,317,505,409,139,0,204,189,50,621,326,146,268,57,275,107,487,158,611,296,143,312,390,543,160,418,274,298,393,250,106,180,292,332
"hsa-miR-23b-3p",1,2,0,2,1,1,1,1,1,707972,52626,146794,141771,42957,177039,0,0,1,2,1,1,1,1,1,1,1,0,51465,0,348457,59443,198659,103886,677414
"hsa-miR-24-3p",179,38,120,383,70,230,233,101,29,247,65,27,92,9,88,143,75,25,299,177,179,0,132,180,109,84,0,30,0,88,85,36,128,226
"hsa-miR-26b-5p",890,627,602,1733,466,924,965,293,111,681,400,144,387,51,641,705,662,539,1215,939,485,470,730,1053,507,1103,634,162,359,385,500,122,120,905
"hsa-miR-27a-3p",636,404,643,832,543,376,551,102,65,457,227,71,81,21,195,616,469,469,1093,964,357,331,449,601,488,1022,291,187,181,121,118,95,100,348
"hsa-miR-28-3p",1362,1119,1326,8552,1812,1928,1652,2263,677,5546,2765,686,1870,311,946,930,1525,890,2437,1507,1131,747,1548,1366,1088,1364,1718,1091,1536,2032,1908,2048,1429,3142
"hsa-miR-30a-3p",145,31,97,79,62,0,125,9,5,0,19,34,77,19,0,179,0,93,225,88,0,0,0,135,100,204,109,37,40,11,41,0,9,37
"hsa-miR-30b-5p",227,81,0,214,86,17,99,63,13,259,97,17,95,15,91,0,203,34,98,244,40,138,208,85,81,164,0,54,60,102,62,145,107,76
"hsa-miR-30c-1-3p",1,0,0,1,0,1,1,0,1,0,0,4112,19522,738,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,13797,0,0,3057,14304
"hsa-miR-30e-3p",1,1,1,2,1,2,1,1,1,237847,158836,62000,55030,14051,0,0,0,1,1,1,0,0,1,2,1,1,2,32095,128007,116874,0,87609,9096,223081
"hsa-miR-30e-5p",766,1362,2548,3075,956,901,1155,852,172,1715,635,287,672,112,364,1503,1515,1241,2298,2101,1448,1879,2104,1660,1315,1612,1362,479,350,434,687,567,655,951
