"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-369-3p",0,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-369-5p",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"hsa-miR-370-3p",0,0,0,2496,1495,0,0,1901,0,0,0,1444,0,665,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,138,384,0,0,268
"hsa-miR-374b-5p",0,0,0,625606,864402,0,0,719686,0,1,0,0,0,1,0,3,2,0,0,0,9,0,4,5,0,0,0,0,0,1,0,2,0,0
"hsa-miR-377-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-380-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-381-3p",0,0,0,421,832,650,0,856,287,397,258,229,0,1231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,902,0,721,0,0
"hsa-miR-3913-5p",0,0,0,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"hsa-miR-3928-3p",0,0,0,501,0,0,0,408,0,402,0,361,401,938,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,501,288,564
"hsa-miR-409-5p",0,0,0,19,6,0,0,0,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,13,0
"hsa-miR-410-3p",0,0,0,1890,0,0,0,746,1201,528,0,1561,0,793,0,0,0,0,0,0,0,0,0,0,1,0,0,0,499,599,500,0,0,351
"hsa-miR-411-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
