"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-let-7i-5p",85,57,51,88,53,87,96,49,72,38,49,67,51,78,49,27,90,36,59,48,62,62,53,18,35,50,56,35,21,53,27,53,41,71
"hsa-miR-100-5p",44,11,4,5,8,3,61,13,4,5,0,8,4,1,0,38,7,3,4,49,18,42,12,4,6,10,15,4,8,3,2,1,5,3
"hsa-miR-101-3p",7,17,25,6,17,14,0,4,20,6,5,13,8,18,8,9,23,5,4,18,6,28,20,10,21,15,7,5,5,4,8,4,1,17
"hsa-miR-103a-3p",21,30,28,15,37,19,22,16,51,22,16,99,24,95,28,29,26,20,15,22,12,47,6,27,12,11,31,123,43,7,19,7,11,15
"hsa-miR-106b-3p",6,4,3,3,6,7,4,9,11,15,13,17,16,50,12,0,6,5,1,1,3,1,2,3,3,8,6,0,0,13,8,19,29,28
"hsa-miR-125b-5p",36,15,9,8,13,14,16,27,11,9,11,22,10,19,16,41,0,3,46,30,18,1,7,6,5,40,1,14,14,23,14,3,7,11
"hsa-miR-126-5p",729,811,669,492,648,495,595,423,427,403,326,524,403,513,532,933,635,167,717,997,487,401,476,775,347,457,387,384,284,486,630,291,150,477
"hsa-miR-1271-5p",5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-134-5p",5,0,0,1,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"hsa-miR-137-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",6,1,4,1,3,0,0,1,1,1,2,3,2,1,2,0,6,1,0,0,0,2,2,1,0,8,10,1,1,3,3,0,1,2
"hsa-miR-142-5p",193,193,192,96,154,163,145,94,166,70,105,104,134,173,105,216,189,77,99,132,149,210,185,109,147,122,222,76,123,77,101,68,65,120
"hsa-miR-143-3p",9,27,56,23,39,36,35,46,49,20,43,41,69,57,38,21,42,9,40,18,39,12,30,21,26,21,16,16,30,7,31,5,51,116
"hsa-miR-144-3p",14,16,15,2,10,14,7,1,11,2,7,6,11,13,10,0,23,10,7,9,9,19,4,13,10,2,33,9,6,4,13,8,1,0
"hsa-miR-148a-3p",5,10,10,20,7,4,7,9,12,78,56,77,49,117,39,13,0,4,14,4,3,3,4,3,4,9,10,44,48,63,13,58,115,81
