"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-126-5p",822,867,662,374,721,483,644,388,385,356,338,535,391,503,581,840,549,175,685,1105,525,361,493,883,358,461,362,378,318,524,734,311,149,459
"hsa-miR-1271-5p",5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-134-5p",5,0,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"hsa-miR-137-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",7,1,4,1,3,0,0,1,1,1,2,3,2,1,3,0,5,1,0,0,0,2,2,1,0,8,10,1,1,3,3,0,1,2
"hsa-miR-142-5p",218,207,190,73,172,160,157,87,150,61,109,106,131,171,114,194,164,79,96,149,160,187,191,125,151,123,207,76,134,84,119,72,63,116
"hsa-miR-143-3p",11,28,57,17,43,36,37,43,45,18,45,41,67,56,41,18,36,10,39,21,42,11,32,25,27,21,15,16,32,8,36,5,49,110
"hsa-miR-144-3p",16,17,15,2,11,14,7,1,10,2,8,6,10,12,11,0,20,10,8,10,10,17,5,14,10,2,30,9,7,4,16,9,1,0
"hsa-miR-148a-3p",5,10,10,16,8,4,7,8,11,66,59,79,48,114,43,12,0,4,14,4,3,2,4,4,5,9,10,45,55,67,16,63,108,77
"hsa-miR-155-5p",1,1,1,1,1,0,1,1,1,1305,1998,3239,1388,2544,2486,0,0,1,1,1,1,1,1,1,1,1,1,0,0,687,4814,3919,1,1333
"hsa-miR-15a-5p",13,19,13,4,23,4,8,3,10,8,8,66,19,54,35,24,0,8,10,10,5,7,13,10,10,12,21,29,21,13,27,13,23,9
"hsa-miR-15b-5p",1,1,0,1,1,1,1,1,1,544,463,973,969,901,2970,0,0,1,1,1,1,0,1,1,0,0,1,670,0,0,2705,1305,664,0
"hsa-miR-16-5p",504,466,241,163,505,263,321,215,370,84,98,212,166,250,221,412,293,241,210,269,172,288,468,325,214,289,343,197,170,131,150,98,133,93
"hsa-miR-17-5p",8,0,0,2,0,2,0,1,1,1,0,1,2,1,4,3,4,3,0,6,0,2,4,6,0,3,0,0,0,1,1,1,1,3
