"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-126-5p",16,340,32,7841,5823,178,59,1251,1761,1921,591,12950,1252,6691,174,23,19,22,171,357,84,39,113,520,30,130,32,108,69,886,915,153,280,144
"hsa-miR-1271-5p",0,0,0,15,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-134-5p",0,0,0,11,2,0,0,3,2,6,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
"hsa-miR-137-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",0,0,0,30,28,0,0,5,5,5,3,58,6,18,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,4,3,0,2,1
"hsa-miR-142-5p",4,82,9,1561,1389,57,15,281,635,331,187,2560,409,2207,34,6,6,25,15,30,29,35,58,48,20,36,31,21,33,132,139,36,143,36
"hsa-miR-143-3p",0,12,2,361,338,13,4,122,180,93,75,996,204,718,12,0,2,3,7,4,9,2,9,10,4,6,2,5,8,9,43,2,136,38
"hsa-miR-144-3p",0,7,1,35,82,5,1,3,41,9,13,133,31,156,3,0,1,8,1,2,2,2,1,6,1,1,4,2,1,7,20,5,2,0
"hsa-miR-148a-3p",0,4,1,252,63,2,1,24,43,362,102,1902,155,1481,11,0,0,3,3,1,1,1,1,1,1,4,1,12,11,112,15,31,305,20
"hsa-miR-155-5p",0,1,0,1,1,0,0,1,1,17107,7151,156109,9489,76771,883,0,0,1,0,1,1,0,1,1,1,1,1,0,0,2350,12431,4037,854,1
"hsa-miR-15a-5p",0,7,1,62,156,2,1,9,38,45,17,1527,59,685,10,0,0,5,2,3,1,1,4,5,2,4,3,7,5,21,29,6,57,2
"hsa-miR-15b-5p",0,1,0,2,1,1,1,1,1,8993,2285,69492,8373,43247,1596,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,7536,1153,5543,0
"hsa-miR-16-5p",9,181,12,3520,4005,98,30,699,1566,458,172,5066,527,3233,66,12,11,120,38,51,18,47,164,152,20,96,51,61,40,207,171,48,324,27
"hsa-miR-17-5p",0,0,0,230,28,0,0,14,30,4,0,15,3,8,1,0,0,2,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
"hsa-miR-181a-2-3p",0,2,0,20,23,2,0,7,11,24,6,55,5,113,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,18,3,0,2,1
"hsa-miR-181b-5p",1,7,1,159,140,12,3,38,81,77,44,482,55,505,8,1,1,5,4,1,1,1,4,10,3,4,2,5,6,34,28,1,38,11
"hsa-miR-184",0,9,0,8,30,3,0,83,22,2,3,45,4,0,2,0,0,1,11,7,1,1,0,2,0,14,1,0,0,9,1,1,1,1
"hsa-miR-1908-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-192-5p",1,22,2,414,399,19,3,122,322,91,43,767,131,817,14,2,2,29,2,5,5,6,7,19,10,6,6,13,12,31,32,12,55,8
